text,label
"Dieser Vertrag ist unter der Bedingung gültig.",0
"Die Lieferung erfolgt nur nach Verfügbarkeit.",0
"Es werden keine Rückerstattungen akzeptiert.",1
"Der Verkäufer haftet nicht für Schäden.",1
"Diese Allgemeinen Geschäftsbedingungen regeln die Nutzung dieser Website.",0
"Die Vertragsparteien stimmen den folgenden Bedingungen zu.",0
"Der Nutzer erklärt sich mit den Datenschutzhinweisen einverstanden.",1
"Alle Zahlungen sind innerhalb von 14 Tagen fällig.",1
"Der Anbieter haftet nicht für indirekte Schäden.",0
"Diese AGB gelten bis auf Widerruf.",0
"Änderungen bedürfen der Schriftform.",1
"Verstöße gegen diese Bedingungen führen zum Ausschluss.",1
"Der Vertrag kann jederzeit gekündigt werden.",0
"Mit der Nutzung der Dienste akzeptiert der Nutzer diese AGB.",0
"Lieferzeiten sind unverbindlich, außer schriftlich vereinbart.",1
"Rückgaben sind nur innerhalb von 30 Tagen möglich.",1
"Der Kunde ist verpflichtet, die Ware bei Lieferung zu prüfen.",0
"Bei Zahlungsverzug werden Mahngebühren erhoben.",0
"Die Nutzung der Website ist ab 18 Jahren erlaubt.",1
"Reklamationen sind innerhalb von 7 Tagen zu melden.",1
"Der Anbieter kann den Vertrag fristlos kündigen.",0
"Der Kunde akzeptiert Änderungen der AGB stillschweigend.",0
"Diese Vereinbarung unterliegt dem österreichischen Recht.",1
"Die Haftung ist auf grobe Fahrlässigkeit beschränkt.",1
